game_id,game,date,time,round,phase,season_code,score_a,score_b,team_a,team_b,team_id_a,team_id_b,coach_a,coach_b,game_time,remaining_partial_time,referee_1,referee_2,referee_3,stadium,capacity,w_id,fouls_a,fouls_b,timeouts_a,timeouts_b,score_quarter_1_a,score_quarter_2_a,score_quarter_3_a,score_quarter_4_a,score_quarter_1_b,score_quarter_2_b,score_quarter_3_b,score_quarter_4_b,score_extra_time_1_a,score_extra_time_2_a,score_extra_time_3_a,score_extra_time_4_a,score_extra_time_1_b,score_extra_time_2_b,score_extra_time_3_b,score_extra_time_4_b
U2016_035,LJU-JER,2016-10-26,20:00:00,3,REGULAR SEASON,U2016,74,89,UNION OLIMPIJA LJUBLJANA,HAPOEL BANK YAHAV JERUSALEM,LJU,JER,OKORN GAŠER,PIANIGIANI SIMONE,40:00,00:00,"HIERREZUELO, DANIEL","KOWALSKI, MARCIN","VAN DEN BROECK, NICK",ARENA STOZICE,2500,80,23,25,5,1,16,39,54,74,23,41,62,89,,,,,,,,
U2016_036,TIV-ULM,2016-10-26,19:00:00,3,REGULAR SEASON,U2016,62,77,LOKOMOTIV KUBAN KRASNODAR,RATIOPHARM ULM,TIV,ULM,KATSIKARIS FOTIS,LEIBENATH THORSTEN,40:00,00:00,"PAPAPETROU, PETROS","VYKLICKY, ROBERT","OBRKNEZEVIC, UROS",BASKET HALL,4919,80,21,22,2,2,13,29,48,62,28,46,64,77,,,,,,,,
U2016_038,NOV-SKO,2016-11-02,17:00:00,4,REGULAR SEASON,U2016,88,74,NIZHNY NOVGOROD,MZT SKOPJE AERODROM,NOV,SKO,STALBERGS ARTURS,JONCHEVSKI ALEKSANDR,45:00,00:00,"GKONTAS, SPIROS","KOWALSKI, MARCIN","PETEK, SASO",CEC NAGORNY,700,90,21,20,4,5,17,37,51,70,21,36,61,70,88,,,,74,,,
U2016_039,CAN-LKB,2016-11-02,21:00:00,4,REGULAR SEASON,U2016,86,67,HERBALIFE GRAN CANARIA LAS PALMAS,LIETKABELIS PANEVEZYS,CAN,LKB,"PALOMO, LUIS CASIMIRO","MAKSVYTIS, KAZYS",40:00,00:00,"LATISEVS, OLEGS","HORDOV, TOMISLAV","TRAWICKI, TOMASZ",GRAN CANARIA ARENA,3626,80,22,24,2,3,35,50,70,86,14,36,50,67,,,,,,,,
U2016_040,BER-LIE,2016-11-02,20:00:00,4,REGULAR SEASON,U2016,124,115,ALBA BERLIN,LIETUVOS RYTAS VILNIUS,BER,LIE,"CAKI, AHMET ARIF","PACESAS, TOMAS",50:00,00:00,"CORTES, CARLOS","OVINOV, SEMEN","VAN DEN BROECK, NICK",MERCEDES-BENZ ARENA,7122,80,32,23,7,7,17,45,64,92,19,44,59,92,103,124,,,103,115,,
U2016_041,FUE-BIL,2016-11-02,20:30:00,4,REGULAR SEASON,U2016,89,78,MONTAKIT FUENLABRADA,RETABET BILBAO BASKET,FUE,BIL,"CUSPINERA, JOSE RAMÓN","DURÁN, CARLES",40:00,00:00,"VYKLICKY, ROBERT","JURAS, MARKO","RODSAND, TORKILD",FERNANDO MARTIN,3504,80,27,25,3,4,31,54,63,89,16,43,66,78,,,,,,,,
U2016_043,DYR-BUD,2016-11-02,18:45:00,4,REGULAR SEASON,U2016,84,79,ZENIT ST PETERSBURG,BUDUCNOST VOLI PODGORICA,DYR,BUD,"KARASEV, VASILY","SCEPANOVIC, VLADO",40:00,00:00,"PASTUSIAK, PIOTR","OBRKNEZEVIC, UROS","MITROVSKI, IGOR",YUBILEYNI ARENA,2100,80,26,19,3,2,25,42,70,84,16,35,57,79,,,,,,,,
U2016_045,MUR-MAL,2016-11-02,20:45:00,4,REGULAR SEASON,U2016,83,75,UCAM MURCIA,UNICAJA MALAGA,MUR,MAL,"QUINTANA, OSCAR","PLAZA, JOAN",40:00,00:00,"CHRISTODOULOU, CHRISTOS","SHEMMESH, SEFFI","PEERANDI, RAIN",PALACIO DE LOS DEPORTES DE MURCIA,5007,80,24,22,3,3,20,40,66,83,20,40,58,75,,,,,,,,
U2016_047,JER-TIV,2016-11-02,19:15:00,4,REGULAR SEASON,U2016,90,79,HAPOEL BANK YAHAV JERUSALEM,LOKOMOTIV KUBAN KRASNODAR,JER,TIV,PIANIGIANI SIMONE,KATSIKARIS FOTIS,40:00,00:00,"PERUGA, CARLOS","HALLIKO, AARE","RADOJKOVIC, JOSIP",PAIS ARENA JERUSALEM,8150,80,19,24,3,4,25,52,75,90,31,46,59,79,,,,,,,,
U2016_048,PAM-LJU,2016-11-02,20:30:00,4,REGULAR SEASON,U2016,87,74,VALENCIA BASKET,UNION OLIMPIJA LJUBLJANA,PAM,LJU,"MARTÍNEZ, PEDRO","OKORN, GASPER",40:00,00:00,"MANTYLA, PETRI","FOUFIS, IOANNIS","BAUMANIS, INGUS",FUENTE DE SAN LUIS,7300,80,23,20,2,5,24,46,61,87,16,32,46,74,,,,,,,,
