,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,dist,fk,g-xg,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,np:g-xg,npxg,npxg/sh,year,team
14,2021-10-30,15:30,Bundesliga,Matchweek 10,Sat,Home,L,0.0,2.0,Wolfsburg,1.5,1.8,65.0,20132.0,Lukáš Hrádecký,3-4-3,Deniz Aytekin,Match Report,,21.4,1.0,-1.5,0.0,,0.0,0.0,1.0,12.0,0.0,0.0,-0.7,0.7,0.06,2021,Bayer Leverkusen
15,2021-11-04,21:00,Europa Lg,Group stage,Thu,Home,W,4.0,0.0,es Betis,2.7,0.9,44.0,15208.0,Lukáš Hrádecký,4-4-2,Anthony Taylor,Match Report,,19.2,0.0,1.3,0.18,0.4,4.0,0.0,0.0,22.0,10.0,45.5,1.3,2.7,0.12,2021,Bayer Leverkusen
16,2021-11-07,15:30,Bundesliga,Matchweek 11,Sun,Away,D,1.0,1.0,Hertha BSC,1.0,0.8,54.0,22187.0,Lukáš Hrádecký,4-2-3-1,Robert Hartmann,Match Report,,19.5,0.0,0.0,0.11,0.25,1.0,0.0,0.0,9.0,4.0,44.4,0.0,1.0,0.11,2021,Bayer Leverkusen
17,2021-11-20,15:30,Bundesliga,Matchweek 12,Sat,Home,W,1.0,0.0,Bochum,1.7,0.8,55.0,22538.0,Lukáš Hrádecký,4-4-2,Daniel Schlager,Match Report,,18.3,1.0,-0.7,0.09,0.2,1.0,0.0,0.0,11.0,5.0,45.5,-0.7,1.7,0.15,2021,Bayer Leverkusen
18,2021-11-25,18:45,Europa Lg,Group stage,Thu,Home,W,3.0,2.0,sct Celtic,2.4,1.4,57.0,19830.0,Lukáš Hrádecký,4-4-2,Anastasios Sidiropoulos,Match Report,,12.6,0.0,0.6,0.19,0.43,3.0,0.0,0.0,16.0,7.0,43.8,0.6,2.4,0.16,2021,Bayer Leverkusen
19,2021-11-28,17:30,Bundesliga,Matchweek 13,Sun,Away,W,3.0,1.0,RB Leipzig,1.4,1.5,42.0,,Lukáš Hrádecký,4-2-3-1,Benjamin Cortus,Match Report,,15.6,0.0,1.6,0.27,0.75,3.0,0.0,0.0,11.0,4.0,36.4,1.6,1.4,0.13,2021,Bayer Leverkusen
20,2021-12-04,15:30,Bundesliga,Matchweek 14,Sat,Home,W,7.0,1.0,Greuther Fürth,2.8,0.3,60.0,10455.0,Lukáš Hrádecký,4-2-3-1,Tobias Reichel,Match Report,,13.2,0.0,4.2,0.54,0.88,7.0,0.0,0.0,13.0,8.0,61.5,4.2,2.8,0.22,2021,Bayer Leverkusen
21,2021-12-09,21:00,Europa Lg,Group stage,Thu,Away,L,0.0,1.0,hu Ferencváros,1.2,0.6,56.0,12127.0,Charles Aránguiz,4-2-3-1,Kirill Levnikov,Match Report,,16.1,0.0,-1.2,0.0,0.0,0.0,0.0,0.0,13.0,4.0,30.8,-1.2,1.2,0.1,2021,Bayer Leverkusen
22,2021-12-12,17:30,Bundesliga,Matchweek 15,Sun,Away,L,2.0,5.0,Eint Frankfurt,1.7,1.6,56.0,12000.0,Lukáš Hrádecký,4-2-3-1,Marco Fritz,Match Report,,19.2,0.0,0.3,0.1,0.5,2.0,1.0,1.0,10.0,2.0,20.0,0.1,0.9,0.09,2021,Bayer Leverkusen
23,2021-12-15,20:30,Bundesliga,Matchweek 16,Wed,Home,D,2.0,2.0,Hoffenheim,2.2,2.0,46.0,13272.0,Lukáš Hrádecký,4-2-3-1,Tobias Stieler,Match Report,,12.7,0.0,-0.2,0.13,0.22,2.0,0.0,0.0,16.0,9.0,56.3,-0.2,2.2,0.14,2021,Bayer Leverkusen
24,2021-12-19,15:30,Bundesliga,Matchweek 17,Sun,Away,L,1.0,2.0,Freiburg,0.8,2.1,57.0,750.0,Lukáš Hrádecký,4-3-2-1,Benjamin Cortus,Match Report,,15.0,0.0,0.2,0.14,0.25,1.0,0.0,0.0,7.0,4.0,57.1,0.2,0.8,0.14,2021,Bayer Leverkusen
25,2022-01-08,15:30,Bundesliga,Matchweek 18,Sat,Home,D,2.0,2.0,Union Berlin,1.6,2.7,64.0,,Lukáš Hrádecký,4-2-3-1,Matthias Jöllenbeck,Match Report,,15.3,0.0,0.4,0.11,0.25,2.0,0.0,0.0,19.0,8.0,42.1,0.4,1.6,0.09,2021,Bayer Leverkusen
26,2022-01-15,18:30,Bundesliga,Matchweek 19,Sat,Away,W,2.0,1.0,M'Gladbach,5.3,1.2,46.0,750.0,Lukáš Hrádecký,4-2-3-1,Sascha Stegemann,Match Report,,15.0,0.0,-3.3,0.07,0.17,2.0,0.0,2.0,30.0,12.0,40.0,-1.6,3.6,0.13,2021,Bayer Leverkusen
27,2022-01-22,15:30,Bundesliga,Matchweek 20,Sat,Home,W,5.0,1.0,Augsburg,2.8,1.5,66.0,750.0,Lukáš Hrádecký,4-1-4-1,Daniel Schlager,Match Report,,15.0,0.0,2.2,0.23,0.42,5.0,0.0,0.0,22.0,12.0,54.5,2.2,2.8,0.13,2021,Bayer Leverkusen
28,2022-02-06,15:30,Bundesliga,Matchweek 21,Sun,Away,W,5.0,2.0,Dortmund,2.0,1.7,36.0,10000.0,Jonathan Tah,4-2-3-1,Daniel Siebert,Match Report,,12.4,1.0,2.0,0.4,0.67,4.0,0.0,0.0,10.0,6.0,60.0,2.0,2.0,0.2,2021,Bayer Leverkusen
29,2022-02-12,18:30,Bundesliga,Matchweek 22,Sat,Home,W,4.0,2.0,Stuttgart,1.9,1.0,69.0,10000.0,Lukáš Hrádecký,4-2-3-1,Felix Brych,Match Report,,18.0,0.0,2.1,0.2,0.67,4.0,0.0,0.0,20.0,6.0,30.0,2.1,1.9,0.1,2021,Bayer Leverkusen
30,2022-02-18,20:30,Bundesliga,Matchweek 23,Fri,Away,L,2.0,3.0,Mainz 05,1.0,0.9,59.0,10000.0,Lukáš Hrádecký,4-2-3-1,Benjamin Cortus,Match Report,,16.1,0.0,1.0,0.29,0.33,2.0,0.0,0.0,7.0,6.0,85.7,1.0,1.0,0.14,2021,Bayer Leverkusen
31,2022-02-26,15:30,Bundesliga,Matchweek 24,Sat,Home,W,3.0,0.0,Arminia,2.1,0.4,71.0,10000.0,Lukáš Hrádecký,4-2-3-1,Martin Petersen,Match Report,,16.4,0.0,0.9,0.14,0.33,3.0,0.0,0.0,21.0,9.0,42.9,0.9,2.1,0.11,2021,Bayer Leverkusen
32,2022-03-05,15:30,Bundesliga,Matchweek 25,Sat,Away,D,1.0,1.0,Bayern Munich,2.1,1.6,32.0,25000.0,Lukáš Hrádecký,3-4-3,Daniel Siebert,Match Report,,13.0,0.0,-2.1,0.0,0.0,0.0,0.0,0.0,9.0,2.0,22.2,-2.1,2.1,0.24,2021,Bayer Leverkusen
