,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,dist,fk,g-xg,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,np:g-xg,npxg,npxg/sh,year,team
1,2023-04-15,16:00,Série A,Matchweek 1,Sat,Away,W,3.0,0.0,América (MG),3.1,1.1,54.0,6653.0,Nino,4-2-2-2,Braulio da Silva Machado,Match Report,,18.6,1.0,-0.1,0.21,0.43,3.0,0.0,1.0,14.0,7.0,50.0,0.7,2.3,0.17,2023,Fluminense
2,2023-04-18,19:00,Libertadores,Group stage,Tue,Home,W,1.0,0.0,bo The Strongest,2.1,0.0,76.0,52419.0,Nino,4-2-3-1,Carlos Ortega,Match Report,,17.3,1.0,-1.1,0.04,0.09,1.0,0.0,0.0,26.0,11.0,42.3,-1.1,2.1,0.08,2023,Fluminense
3,2023-04-22,16:00,Série A,Matchweek 2,Sat,Home,W,2.0,0.0,Ath Paranaense,0.8,0.6,62.0,38598.0,Nino,4-2-3-1,Paulo Cesar Zanovelli da Silva,Match Report,,21.0,0.0,1.2,0.14,0.5,2.0,0.0,0.0,14.0,4.0,28.6,1.2,0.8,0.05,2023,Fluminense
4,2023-04-29,16:30,Série A,Matchweek 3,Sat,Away,L,2.0,4.0,Fortaleza,1.5,5.3,69.0,39943.0,Nino,4-2-3-1,Raphael Claus,Match Report,,16.8,0.0,0.5,0.17,0.67,2.0,0.0,0.0,12.0,3.0,25.0,0.5,1.5,0.13,2023,Fluminense
5,2023-05-02,21:00,Libertadores,Group stage,Tue,Home,W,5.0,1.0,ar River Plate,3.4,0.8,55.0,62505.0,Nino,4-2-3-1,Esteban Ostojich,Match Report,,13.8,1.0,1.6,0.31,0.56,5.0,0.0,0.0,16.0,9.0,56.3,1.6,3.4,0.21,2023,Fluminense
6,2023-05-06,21:00,Série A,Matchweek 4,Sat,Home,D,1.0,1.0,Vasco da Gama,1.8,0.7,79.0,39850.0,Nino,4-2-3-1,Wilton Sampaio,Match Report,,21.0,2.0,-0.8,0.04,0.11,1.0,0.0,0.0,23.0,9.0,39.1,-0.8,1.8,0.08,2023,Fluminense
7,2023-05-10,21:30,Série A,Matchweek 5,Wed,Away,W,2.0,0.0,Cruzeiro,1.2,2.1,52.0,51846.0,Nino,4-2-3-1,Flavio Rodrigues de Souza,Match Report,,15.5,0.0,0.8,0.18,0.33,2.0,0.0,0.0,11.0,6.0,54.5,0.8,1.2,0.11,2023,Fluminense
8,2023-05-13,18:30,Série A,Matchweek 6,Sat,Home,W,2.0,0.0,Cuiabá,0.9,0.9,61.0,39040.0,Nino,4-2-3-1,Edina Alves Batista,Match Report,,12.9,0.0,1.1,0.29,1.0,2.0,0.0,0.0,7.0,2.0,28.6,1.1,0.9,0.13,2023,Fluminense
9,2023-05-20,18:30,Série A,Matchweek 7,Sat,Away,L,0.0,1.0,Botafogo (RJ),0.9,1.4,65.0,24732.0,Nino,4-2-3-1,Braulio da Silva Machado,Match Report,,9.8,0.0,-0.9,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,-0.9,0.9,0.3,2023,Fluminense
10,2023-05-25,18:00,Libertadores,Group stage,Thu,Away,L,0.0,1.0,bo The Strongest,0.4,2.1,58.0,,Fábio,4-4-2,Felipe González,Match Report,,20.8,0.0,-0.4,0.0,,0.0,0.0,0.0,8.0,0.0,0.0,-0.4,0.4,0.05,2023,Fluminense
11,2023-05-28,16:00,Série A,Matchweek 8,Sun,Away,L,0.0,2.0,Corinthians,1.3,1.4,70.0,34624.0,Nino,4-2-3-1,Leandro Pedro Vuaden,Match Report,,22.1,0.0,-1.3,0.0,0.0,0.0,0.0,0.0,22.0,7.0,31.8,-1.3,1.3,0.06,2023,Fluminense
12,2023-06-04,16:00,Série A,Matchweek 9,Sun,Home,W,2.0,1.0,Bragantino,1.1,0.6,51.0,27228.0,Nino,4-2-3-1,Rodrigo José Pereira de Lima,Match Report,,22.8,0.0,0.9,0.17,0.5,2.0,0.0,0.0,12.0,4.0,33.3,0.9,1.1,0.09,2023,Fluminense
13,2023-06-07,21:30,Libertadores,Group stage,Wed,Away,L,0.0,2.0,ar River Plate,0.7,2.2,54.0,,Nino,4-2-3-1,Wilmar Roldán,Match Report,,18.3,0.0,-0.7,0.0,0.0,0.0,0.0,0.0,7.0,2.0,28.6,-0.7,0.7,0.1,2023,Fluminense
14,2023-06-11,18:30,Série A,Matchweek 10,Sun,Away,D,2.0,2.0,Goiás,1.3,2.1,59.0,10260.0,Nino,4-2-2-2,Leandro Pedro Vuaden,Match Report,,17.0,0.0,0.7,0.15,0.5,2.0,0.0,0.0,13.0,4.0,30.8,0.7,1.3,0.1,2023,Fluminense
15,2023-06-21,21:30,Série A,Matchweek 11,Wed,Home,D,1.0,1.0,Atlético Mineiro,0.4,1.4,49.0,7788.0,Nino,4-2-3-1,Ramon Abatti Abel,Match Report,,20.8,0.0,0.6,0.11,0.25,1.0,0.0,0.0,9.0,4.0,44.4,0.6,0.4,0.05,2023,Fluminense
16,2023-06-24,18:30,Série A,Matchweek 12,Sat,Home,W,2.0,1.0,Bahia,3.0,1.0,49.0,24507.0,Nino,4-2-3-1,Savio Pereira,Match Report,,15.4,1.0,-1.0,0.12,0.22,2.0,0.0,0.0,17.0,9.0,52.9,-1.0,3.0,0.19,2023,Fluminense
17,2023-06-27,21:00,Libertadores,Group stage,Tue,Home,D,1.0,1.0,pe Sporting Cristal,0.6,0.6,61.0,50683.0,Nino,4-2-3-1,Piero Maza,Match Report,,19.2,1.0,0.4,0.07,0.17,1.0,0.0,0.0,14.0,6.0,42.9,0.4,0.6,0.05,2023,Fluminense
18,2023-07-01,16:00,Série A,Matchweek 13,Sat,Away,L,0.0,1.0,São Paulo,0.2,1.1,46.0,49153.0,Felipe Melo,4-2-3-1,Anderson Daronco,Match Report,,22.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,4.0,2.0,50.0,-0.2,0.2,0.05,2023,Fluminense
19,2023-07-09,16:00,Série A,Matchweek 14,Sun,Home,W,2.0,0.0,Internacional,1.1,0.4,55.0,,Nino,4-4-2,Luiz Flávio de Oliveira,Match Report,,21.3,1.0,0.9,0.14,0.25,2.0,0.0,0.0,14.0,8.0,57.1,0.9,1.1,0.08,2023,Fluminense
20,2023-07-16,16:00,Série A,Matchweek 15,Sun,Home,D,0.0,0.0,Flamengo,1.5,0.4,54.0,62354.0,Nino,4-2-3-1,Savio Pereira,Match Report,,14.1,1.0,-1.5,0.0,0.0,0.0,0.0,0.0,16.0,8.0,50.0,-1.5,1.5,0.1,2023,Fluminense
21,2023-07-24,19:00,Série A,Matchweek 16,Mon,Away,L,0.0,2.0,Coritiba,1.0,1.9,72.0,,Nino,4-3-3,Flavio Rodrigues de Souza,Match Report,,16.5,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,20.0,-1.0,1.0,0.06,2023,Fluminense
22,2023-07-29,16:00,Série A,Matchweek 17,Sat,Home,W,1.0,0.0,Santos,2.0,0.1,71.0,,Nino,4-2-3-1,Rodrigo José Pereira de Lima,Match Report,,16.4,0.0,-1.0,0.07,0.14,1.0,0.0,1.0,14.0,7.0,50.0,-0.2,1.2,0.09,2023,Fluminense
23,2023-08-01,19:00,Libertadores,Round of 16,Tue,Away,D,1.0,1.0,ar Argentinos Jun,0.3,0.8,53.0,7860.0,Nino,4-3-3,Piero Maza,Match Report,Leg 1 of 2,20.6,1.0,0.7,0.13,0.5,1.0,0.0,0.0,8.0,2.0,25.0,0.7,0.3,0.04,2023,Fluminense
24,2023-08-05,21:00,Série A,Matchweek 18,Sat,Home,W,2.0,1.0,Palmeiras,2.6,1.0,55.0,77973.0,Fábio,4-4-2,Ramon Abatti Abel,Match Report,,16.9,0.0,-0.6,0.11,0.25,2.0,1.0,1.0,9.0,4.0,44.4,-0.8,1.8,0.22,2023,Fluminense
25,2023-08-08,19:00,Libertadores,Round of 16,Tue,Home,W,2.0,0.0,ar Argentinos Jun,1.1,0.1,66.0,,Nino,4-3-3,Alexis Herrera,Match Report,Leg 2 of 2; Fluminense won,15.5,1.0,0.9,0.22,0.67,2.0,0.0,0.0,9.0,3.0,33.3,0.9,1.1,0.13,2023,Fluminense
26,2023-08-13,16:00,Série A,Matchweek 19,Sun,Away,L,1.0,2.0,Grêmio,1.0,1.2,71.0,,Nino,4-2-3-1,Rodrigo José Pereira de Lima,Match Report,,20.8,1.0,0.0,0.05,0.14,1.0,0.0,0.0,19.0,7.0,36.8,0.0,1.0,0.05,2023,Fluminense
27,2023-08-19,18:30,Série A,Matchweek 20,Sat,Home,W,3.0,1.0,América (MG),1.2,1.4,72.0,,Nino,4-2-3-1,Flavio Rodrigues de Souza,Match Report,,18.1,0.0,1.8,0.16,0.75,3.0,0.0,0.0,19.0,4.0,21.1,1.8,1.2,0.07,2023,Fluminense
