,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,dist,fk,g-xg,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,np:g-xg,npxg,npxg/sh,year,team
14,2023-05-08,19:30,Primera Div,Matchweek 15,Mon,Away,W,4.0,2.0,Racing Club,,,36.0,,Guido Herrera,4-2-3-1,Facundo Tello,Match Report,,,,,0.17,0.43,4.0,1.0,1.0,18.0,7.0,38.9,,,,2023,Talleres
15,2023-05-14,21:30,Primera Div,Matchweek 16,Sun,Home,W,2.0,1.0,River Plate,,,34.0,,Guido Herrera,4-2-3-1,Nicolás Ramírez,Match Report,,,,,0.18,0.5,2.0,0.0,0.0,11.0,4.0,36.4,,,,2023,Talleres
16,2023-05-21,15:30,Primera Div,Matchweek 17,Sun,Away,D,1.0,1.0,Club Atlético Belgrano,,,59.0,,Guido Herrera,4-2-3-1,Fernando Rapallini,Match Report,,,,,0.07,0.2,1.0,0.0,1.0,14.0,5.0,35.7,,,,2023,Talleres
17,2023-05-28,16:30,Primera Div,Matchweek 18,Sun,Home,W,1.0,0.0,Argentinos Jun,,,41.0,,Guido Herrera,4-2-3-1,Darío Herrera,Match Report,,,,,0.08,0.33,1.0,0.0,0.0,12.0,3.0,25.0,,,,2023,Talleres
18,2023-06-02,21:30,Primera Div,Matchweek 19,Fri,Away,W,3.0,1.0,Tigre,,,50.0,,Guido Herrera,4-2-3-1,Andrés Merlos,Match Report,,,,,0.14,0.43,3.0,0.0,0.0,21.0,7.0,33.3,,,,2023,Talleres
19,2023-06-10,21:30,Primera Div,Matchweek 20,Sat,Home,W,1.0,0.0,Arsenal,,,54.0,,Guido Herrera,4-2-3-1,Hernán Mastrángelo,Match Report,,,,,0.1,0.25,1.0,0.0,0.0,10.0,4.0,40.0,,,,2023,Talleres
20,2023-06-24,20:00,Primera Div,Matchweek 21,Sat,Away,L,1.0,2.0,Lanús,,,43.0,,Guido Herrera,4-2-3-1,Fernando Rapallini,Match Report,,,,,0.08,0.5,1.0,0.0,0.0,13.0,2.0,15.4,,,,2023,Talleres
21,2023-07-01,21:30,Primera Div,Matchweek 22,Sat,Home,D,1.0,1.0,Godoy Cruz,,,54.0,,Guido Herrera,4-2-3-1,Jorge Baliño,Match Report,,,,,0.06,0.17,1.0,0.0,0.0,17.0,6.0,35.3,,,,2023,Talleres
22,2023-07-06,19:00,Primera Div,Matchweek 23,Thu,Away,W,1.0,0.0,Sarmiento,,,58.0,,Guido Herrera,4-2-3-1,Sebastián Martinez,Match Report,,,,,0.1,0.2,1.0,0.0,0.0,10.0,5.0,50.0,,,,2023,Talleres
23,2023-07-10,21:30,Primera Div,Matchweek 24,Mon,Home,D,0.0,0.0,CA Unión,,,59.0,,Guido Herrera,4-2-3-1,Nicolás Lamolina,Match Report,,,,,0.0,0.0,0.0,0.0,0.0,19.0,5.0,26.3,,,,2023,Talleres
24,2023-07-14,21:30,Primera Div,Matchweek 25,Fri,Away,W,1.0,0.0,CA Huracán,,,53.0,,Guido Herrera,4-2-3-1,Fernando Echenique,Match Report,,,,,0.07,0.33,1.0,0.0,0.0,15.0,3.0,20.0,,,,2023,Talleres
25,2023-07-23,,Primera Div,Matchweek 26,Sun,Home,,,,Gimnasia ELP,,,,,,,,Head-to-Head,,,,,0.11,0.35,38.0,1.0,3.0,332.0,107.0,32.2,,,,2023,Talleres
26,2023-07-30,,Primera Div,Matchweek 27,Sun,Away,,,,Newell's OB,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Talleres
0,2023-01-28,17:00,Primera Div,Matchweek 1,Sat,Home,W,1.0,0.0,Arsenal,,,45.0,,Federico Gattoni,3-4-3,Fernando Echenique,Match Report,,,,,0.09,0.33,1.0,0.0,0.0,11.0,3.0,27.3,,,,2023,San Lorenzo
1,2023-02-04,21:30,Primera Div,Matchweek 2,Sat,Away,L,1.0,2.0,Lanús,,,51.0,,Jalil Elías,3-4-3,Facundo Tello,Match Report,,,,,0.04,0.33,1.0,0.0,0.0,25.0,3.0,12.0,,,,2023,San Lorenzo
2,2023-02-11,17:00,Primera Div,Matchweek 3,Sat,Home,W,1.0,0.0,Godoy Cruz,,,50.0,,Jalil Elías,3-4-3,Nazareno Arasa,Match Report,,,,,0.0,0.0,1.0,1.0,1.0,10.0,4.0,40.0,,,,2023,San Lorenzo
3,2023-02-20,19:15,Primera Div,Matchweek 4,Mon,Away,W,1.0,0.0,Sarmiento,,,53.0,,Jalil Elías,3-4-3◆,Darío Herrera,Match Report,,,,,0.1,0.2,1.0,0.0,0.0,10.0,5.0,50.0,,,,2023,San Lorenzo
4,2023-02-25,17:00,Primera Div,Matchweek 5,Sat,Home,W,1.0,0.0,CA Unión,,,41.0,,Jalil Elías,3-4-1-2,Ariel Penel,Match Report,,,,,0.08,0.33,1.0,0.0,0.0,13.0,3.0,23.1,,,,2023,San Lorenzo
5,2023-03-05,19:15,Primera Div,Matchweek 6,Sun,Away,D,1.0,1.0,CA Huracán,,,40.0,,Jalil Elías,3-4-3,Facundo Tello,Match Report,,,,,0.14,0.33,1.0,0.0,0.0,7.0,3.0,42.9,,,,2023,San Lorenzo
6,2023-03-11,17:00,Primera Div,Matchweek 7,Sat,Home,W,4.0,0.0,Gimnasia ELP,,,60.0,,Jalil Elías,3-4-3,Pablo Echavarría,Match Report,,,,,0.21,0.6,4.0,1.0,1.0,14.0,5.0,35.7,,,,2023,San Lorenzo
7,2023-03-20,18:30,Primera Div,Matchweek 8,Mon,Away,L,0.0,1.0,Newell's OB,,,36.0,,Jalil Elías,3-4-3,Andrés Merlos,Match Report,,,,,0.0,0.0,0.0,0.0,0.0,6.0,1.0,16.7,,,,2023,San Lorenzo
8,2023-04-01,19:00,Primera Div,Matchweek 9,Sat,Home,D,0.0,0.0,Independiente,,,61.0,,Nicolás Blandi,3-4-3,Leandro Rey Hilfer,Match Report,,,,,0.0,0.0,0.0,0.0,0.0,14.0,6.0,42.9,,,,2023,San Lorenzo
9,2023-04-04,20:00,Sudamericana,Group stage,Tue,Away,W,1.0,0.0,ve Estud Mérida,,,39.0,,Augusto Batalla,3-4-3,Roberto Sánchez,Match Report,,,,,0.06,0.14,1.0,0.0,0.0,17.0,7.0,41.2,,,,2023,San Lorenzo
10,2023-04-08,20:30,Primera Div,Matchweek 10,Sat,Away,W,3.0,1.0,Tucumán,,,58.0,,Augusto Batalla,5-4-1,Fernando Espinoza,Match Report,,,,,0.2,0.5,3.0,0.0,0.0,15.0,6.0,40.0,,,,2023,San Lorenzo
11,2023-04-12,17:30,Primera Div,Matchweek 11,Wed,Home,W,1.0,0.0,Boca Juniors,,,43.0,,Augusto Batalla,3-4-3,Facundo Tello,Match Report,,,,,0.0,0.0,0.0,0.0,0.0,9.0,4.0,44.4,,,,2023,San Lorenzo
12,2023-04-16,21:30,Primera Div,Matchweek 12,Sun,Away,D,0.0,0.0,Talleres,,,47.0,,Augusto Batalla,3-4-3,Fernando Rapallini,Match Report,,,,,0.0,0.0,0.0,0.0,0.0,5.0,1.0,20.0,,,,2023,San Lorenzo
13,2023-04-20,19:00,Sudamericana,Group stage,Thu,Home,L,0.0,2.0,br Fortaleza,,,58.0,,Augusto Batalla,3-4-3,Esteban Ostojich,Match Report,,,,,0.0,0.0,0.0,0.0,0.0,9.0,3.0,33.3,,,,2023,San Lorenzo
14,2023-04-23,11:00,Primera Div,Matchweek 13,Sun,Home,W,1.0,0.0,Platense,,,53.0,,Nicolás Blandi,3-4-3,Yael Falcón,Match Report,,,,,0.11,0.5,1.0,0.0,0.0,9.0,2.0,22.2,,,,2023,San Lorenzo
