,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,dist,fk,g-xg,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,np:g-xg,npxg,npxg/sh,year,team
2,2023-08-27,17:30,La Liga,Matchweek 3,Sun,Away,W,4.0,3.0,Villarreal,3.1,1.9,60.0,21679.0,Sergi Roberto,4-3-3,Alejandro Hernández,Match Report,,16.8,0.0,0.9,0.19,0.36,4.0,0.0,0.0,21.0,11.0,52.4,0.9,3.1,0.15,2023,Barcelona
3,2023-09-03,21:00,La Liga,Matchweek 4,Sun,Away,W,2.0,1.0,Osasuna,2.0,0.8,69.0,21966.0,Sergi Roberto,4-3-3,Miguel Ángel Ortiz Arias,Match Report,,15.6,0.0,0.0,0.13,0.33,2.0,1.0,1.0,8.0,3.0,37.5,-0.2,1.2,0.16,2023,Barcelona
4,2023-09-16,21:00,La Liga,Matchweek 5,Sat,Home,,,,Betis,,,,,,,,Head-to-Head,,16.9,3.0,-1.9,0.1,0.26,8.0,1.0,1.0,67.0,27.0,40.3,-2.1,9.1,0.14,2023,Barcelona
5,2023-09-19,21:00,Champions Lg,Group stage,Tue,Home,,,,be Antwerp,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
6,2023-09-24,,La Liga,Matchweek 6,Sun,Home,,,,Celta Vigo,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
7,2023-09-27,,La Liga,Matchweek 7,Wed,Away,,,,Mallorca,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
8,2023-10-01,,La Liga,Matchweek 8,Sun,Home,,,,Sevilla,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
9,2023-10-04,20:00,Champions Lg,Group stage,Wed,Away,,,,pt Porto,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
10,2023-10-08,,La Liga,Matchweek 9,Sun,Away,,,,Granada,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
11,2023-10-22,,La Liga,Matchweek 10,Sun,Home,,,,Athletic Club,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
12,2023-10-25,18:45,Champions Lg,Group stage,Wed,Home,,,,ua Shakhtar,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
13,2023-10-29,,La Liga,Matchweek 11,Sun,Home,,,,Real Madrid,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
14,2023-11-05,,La Liga,Matchweek 12,Sun,Away,,,,Real Sociedad,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
15,2023-11-07,19:45,Champions Lg,Group stage,Tue,Away,,,,ua Shakhtar,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
16,2023-11-12,,La Liga,Matchweek 13,Sun,Home,,,,Alavés,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
17,2023-11-26,,La Liga,Matchweek 14,Sun,Away,,,,Rayo Vallecano,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
18,2023-11-28,21:00,Champions Lg,Group stage,Tue,Home,,,,pt Porto,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
19,2023-12-03,,La Liga,Matchweek 15,Sun,Home,,,,Atlético Madrid,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
20,2023-12-10,,La Liga,Matchweek 16,Sun,Home,,,,Girona,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
21,2023-12-13,21:00,Champions Lg,Group stage,Wed,Away,,,,be Antwerp,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
22,2023-12-17,,La Liga,Matchweek 17,Sun,Away,,,,Valencia,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
23,2023-12-20,,La Liga,Matchweek 18,Wed,Home,,,,Almería,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
24,2024-01-03,,La Liga,Matchweek 19,Wed,Away,,,,Las Palmas,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
25,2024-01-14,,La Liga,Matchweek 20,Sun,Home,,,,Osasuna,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
26,2024-01-21,,La Liga,Matchweek 21,Sun,Away,,,,Betis,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
27,2024-01-28,,La Liga,Matchweek 22,Sun,Home,,,,Villarreal,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
28,2024-02-04,,La Liga,Matchweek 23,Sun,Away,,,,Alavés,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
29,2024-02-11,,La Liga,Matchweek 24,Sun,Home,,,,Granada,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
30,2024-02-18,,La Liga,Matchweek 25,Sun,Away,,,,Celta Vigo,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
31,2024-02-25,,La Liga,Matchweek 26,Sun,Home,,,,Getafe,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
32,2024-03-03,,La Liga,Matchweek 27,Sun,Away,,,,Athletic Club,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
33,2024-03-10,,La Liga,Matchweek 28,Sun,Home,,,,Mallorca,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
34,2024-03-17,,La Liga,Matchweek 29,Sun,Away,,,,Atlético Madrid,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
35,2024-03-31,,La Liga,Matchweek 30,Sun,Home,,,,Las Palmas,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
36,2024-04-14,,La Liga,Matchweek 31,Sun,Away,,,,Cádiz,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
37,2024-04-21,,La Liga,Matchweek 32,Sun,Away,,,,Real Madrid,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
38,2024-04-28,,La Liga,Matchweek 33,Sun,Home,,,,Valencia,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
39,2024-05-05,,La Liga,Matchweek 34,Sun,Away,,,,Girona,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
40,2024-05-12,,La Liga,Matchweek 35,Sun,Home,,,,Real Sociedad,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
41,2024-05-15,,La Liga,Matchweek 36,Wed,Away,,,,Almería,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
42,2024-05-19,,La Liga,Matchweek 37,Sun,Home,,,,Rayo Vallecano,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
43,2024-05-26,,La Liga,Matchweek 38,Sun,Away,,,,Sevilla,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Barcelona
0,2023-08-14,21:30,La Liga,Matchweek 1,Mon,Home,W,3.0,1.0,Granada,2.4,0.9,46.0,56164.0,Koke,3-5-2,Juan Pulido,Match Report,,14.4,0.0,0.6,0.21,0.5,3.0,0.0,0.0,14.0,6.0,42.9,0.6,2.4,0.17,2023,Atletico Madrid
1,2023-08-20,21:30,La Liga,Matchweek 2,Sun,Away,D,0.0,0.0,Betis,0.5,0.7,47.0,51782.0,Jan Oblak,5-3-2,Ricardo de Burgos,Match Report,,13.7,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,5.0,1.0,20.0,-0.5,0.5,0.09,2023,Atletico Madrid
2,2023-08-28,21:30,La Liga,Matchweek 3,Mon,Away,W,7.0,0.0,Rayo Vallecano,3.4,0.6,44.0,13966.0,Jan Oblak,5-3-2,José Luis Munuera,Match Report,,16.0,0.0,3.6,0.41,0.7,7.0,0.0,0.0,17.0,10.0,58.8,3.6,3.4,0.21,2023,Atletico Madrid
3,2023-09-03,18:30,La Liga,Matchweek 4,Sun,Home,,,,Sevilla,,,,,,,Alberola Rojas,,Match Postponed,15.1,0.0,3.7,0.28,0.59,10.0,0.0,0.0,36.0,17.0,47.2,3.7,6.3,0.18,2023,Atletico Madrid
4,2023-09-16,16:15,La Liga,Matchweek 5,Sat,Away,,,,Valencia,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Atletico Madrid
5,2023-09-19,21:00,Champions Lg,Group stage,Tue,Away,,,,it Lazio,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Atletico Madrid
6,2023-09-24,,La Liga,Matchweek 6,Sun,Home,,,,Real Madrid,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Atletico Madrid
7,2023-09-27,,La Liga,Matchweek 7,Wed,Away,,,,Osasuna,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Atletico Madrid
