,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,dist,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,year,team
21,2023-08-05,15:30,Série B,Matchweek 22,Sat,Away,L,0.0,1.0,Avaí,55.0,,Rodrigo Fagundes,4-2-3-1,Flavio Rodrigues de Souza,Match Report,,,0.0,0.0,0.0,0.0,0.0,21.0,5.0,23.8,2023,Criciuma
22,2023-08-12,15:30,Série B,Matchweek 23,Sat,Home,W,2.0,0.0,Londrina,59.0,,Rodrigo Fagundes,4-2-3-1,Dyorgines José Padovani Andrade,Match Report,,,0.13,0.29,2.0,0.0,0.0,15.0,7.0,46.7,2023,Criciuma
23,2023-08-19,17:00,Série B,Matchweek 24,Sat,Away,L,0.0,3.0,Ituano,50.0,,Rodrigo Fagundes,4-2-3-1,Leandro Pedro Vuaden,Match Report,,,0.0,0.0,0.0,0.0,0.0,10.0,2.0,20.0,2023,Criciuma
24,2023-08-22,21:30,Série B,Matchweek 25,Tue,Home,W,1.0,0.0,Vila Nova,39.0,,Rodrigo Fagundes,4-3-3,Bruno Mota Correia,Match Report,,,0.13,1.0,1.0,0.0,0.0,8.0,1.0,12.5,2023,Criciuma
25,2023-09-02,17:00,Série B,Matchweek 26,Sat,Away,L,0.0,1.0,Ceará,55.0,,Gustavo,4-3-3,Jose Mendonca da Silva Junior,Match Report,,,0.0,0.0,0.0,0.0,0.0,17.0,6.0,35.3,2023,Criciuma
26,2023-09-09,20:45,Série B,Matchweek 27,Sat,Away,,,,Sport Recife,,,,,,Head-to-Head,,,0.07,0.23,28.0,3.0,3.0,350.0,110.0,31.4,2023,Criciuma
27,2023-09-16,15:30,Série B,Matchweek 28,Sat,Home,,,,Mirassol Futebol Clube,,,,,,Head-to-Head,,,,,,,,,,,2023,Criciuma
28,2023-09-20,21:30,Série B,Matchweek 29,Wed,Away,,,,Atl Goianiense,,,,,,Head-to-Head,,,,,,,,,,,2023,Criciuma
29,2023-10-03,,Série B,Matchweek 30,Tue,Away,,,,Juventude,,,,,,Head-to-Head,,,,,,,,,,,2023,Criciuma
30,2023-10-06,,Série B,Matchweek 31,Fri,Home,,,,Vitória,,,,,,Head-to-Head,,,,,,,,,,,2023,Criciuma
31,2023-10-17,,Série B,Matchweek 32,Tue,Home,,,,Chapecoense,,,,,,Head-to-Head,,,,,,,,,,,2023,Criciuma
32,2023-10-24,,Série B,Matchweek 33,Tue,Away,,,,CRB,,,,,,Head-to-Head,,,,,,,,,,,2023,Criciuma
33,2023-10-27,,Série B,Matchweek 34,Fri,Home,,,,Sampaio Corrêa,,,,,,Head-to-Head,,,,,,,,,,,2023,Criciuma
34,2023-10-31,,Série B,Matchweek 35,Tue,Home,,,,ABC,,,,,,Head-to-Head,,,,,,,,,,,2023,Criciuma
35,2023-11-07,,Série B,Matchweek 36,Tue,Away,,,,Guarani,,,,,,Head-to-Head,,,,,,,,,,,2023,Criciuma
36,2023-11-10,,Série B,Matchweek 37,Fri,Home,,,,Botafogo (SP),,,,,,Head-to-Head,,,,,,,,,,,2023,Criciuma
37,2023-11-25,,Série B,Matchweek 38,Sat,Away,,,,Grêmio Novorizontino,,,,,,Head-to-Head,,,,,,,,,,,2023,Criciuma
0,2023-04-15,18:15,Série B,Matchweek 1,Sat,Home,L,1.0,2.0,Botafogo (SP),65.0,3243.0,Jadson,4-2-3-1,Yuri Elino Ferreira da Cruz,Match Report,,,0.05,0.2,1.0,0.0,0.0,20.0,5.0,25.0,2023,Juventude
1,2023-04-22,17:00,Série B,Matchweek 2,Sat,Away,L,0.0,1.0,Grêmio Novorizontino,53.0,1792.0,Nenê,4-2-3-1,Emerson Ricardo de Almeida Andrade,Match Report,,,0.0,0.0,0.0,0.0,0.0,9.0,2.0,22.2,2023,Juventude
2,2023-04-30,18:15,Série B,Matchweek 3,Sun,Away,L,0.0,1.0,Vila Nova,63.0,8177.0,Nenê,4-2-3-1,Diego Pombo Lopez,Match Report,,,0.0,0.0,0.0,0.0,0.0,7.0,3.0,42.9,2023,Juventude
3,2023-05-03,19:00,Série B,Matchweek 4,Wed,Home,W,1.0,0.0,Guarani,38.0,1460.0,Nenê,4-4-2,Dyorgines José Padovani Andrade,Match Report,,,0.09,0.14,1.0,0.0,0.0,11.0,7.0,63.6,2023,Juventude
4,2023-05-06,18:15,Série B,Matchweek 5,Sat,Away,L,1.0,2.0,Sampaio Corrêa,58.0,2875.0,Jadson,4-4-2,Felipe Fernandes de Lima,Match Report,,,0.0,0.0,1.0,1.0,1.0,16.0,1.0,6.3,2023,Juventude
5,2023-05-13,16:00,Série B,Matchweek 6,Sat,Home,L,0.0,1.0,Mirassol Futebol Clube,47.0,1994.0,Nenê,4-4-2,Fabio Augusto de Sá Junior,Match Report,,,0.0,0.0,0.0,0.0,0.0,15.0,5.0,33.3,2023,Juventude
6,2023-05-21,11:00,Série B,Matchweek 7,Sun,Away,W,2.0,0.0,Chapecoense,45.0,4930.0,Nenê,4-2-3-1,Matheus Delgado Candançan,Match Report,,,0.11,0.4,2.0,0.0,0.0,18.0,5.0,27.8,2023,Juventude
